name,date,Green,Red,NIR,SWIR
1,2014/3/26,0.550300421,0.624256376,0.565044691,0.187645337
1,2014/3/27,0.512826706,0.589541405,0.529254274,0.186329048
1,2014/3/28,0.488042797,0.568113058,0.50157015,0.185409907
1,2014/3/29,0.456558659,0.53656752,0.46565971,0.185129266
1,2014/3/30,0.426667583,0.50596796,0.435375735,0.184116861
1,2014/3/31,0.403557999,0.479625455,0.415246625,0.187708419
1,2014/4/1,0.377484991,0.452079862,0.392006693,0.18963283
1,2014/4/2,0.354207246,0.429901688,0.380887431,0.1960943
1,2014/4/3,0.338871012,0.408388638,0.365948581,0.198496848
1,2014/4/4,0.325130288,0.393420811,0.354211465,0.200438779
1,2014/4/5,0.307661585,0.375993048,0.340815554,0.201870801
1,2014/4/6,0.30660125,0.371136296,0.337827953,0.200328741
1,2014/4/7,0.302370799,0.365512837,0.333970188,0.203277262
1,2014/4/8,0.325446207,0.38705321,0.360528662,0.206981905
1,2014/4/9,0.317185117,0.375780707,0.35086293,0.209011657
1,2014/4/10,0.304226196,0.361043796,0.336018276,0.210035996
1,2014/4/11,0.294687898,0.352101614,0.326594817,0.21630928
1,2014/4/12,0.282674937,0.339083086,0.314648238,0.217981981
1,2014/4/13,0.266866498,0.321542141,0.302758294,0.216214727
1,2014/4/14,0.31067507,0.355364536,0.336174609,0.218074163
1,2014/4/15,0.346458573,0.388318608,0.366143486,0.225813309
1,2014/4/16,0.354271694,0.394246079,0.372770408,0.226759798
1,2014/4/17,0.392137775,0.427636418,0.409620812,0.242862921
1,2014/4/18,0.36781574,0.405389118,0.397100538,0.245162996
1,2014/4/19,0.347301874,0.383762176,0.383262732,0.24522277
1,2014/4/20,0.327439753,0.361250029,0.366420988,0.243065207
1,2014/4/21,0.313416902,0.348016696,0.357221828,0.24626593
1,2014/4/22,0.300316259,0.334396188,0.347762445,0.244196951
1,2014/4/23,0.32840373,0.359596276,0.374718267,0.243548209
1,2014/4/24,0.312090321,0.344844956,0.358180211,0.24324459
1,2014/4/25,0.300703757,0.335398166,0.349533719,0.246419363
1,2014/4/26,0.288398299,0.323123178,0.336832566,0.246035869
1,2014/4/27,0.279539091,0.312772721,0.331321447,0.249004055
1,2014/4/28,0.271713704,0.307210588,0.325859698,0.250552161
1,2014/4/29,0.299861113,0.338683655,0.356106954,0.244032262
1,2014/4/30,0.290467789,0.330223135,0.347922306,0.243900412
1,2014/5/1,0.274770227,0.315733483,0.334404139,0.241914086
1,2014/5/2,0.264538963,0.305530138,0.327018756,0.244931527
1,2014/5/3,0.262151882,0.302341392,0.324695537,0.239998637
1,2014/5/4,0.253197209,0.291363295,0.318343895,0.241870041
1,2014/5/5,0.243184285,0.281001826,0.308771064,0.242349299
1,2014/5/6,0.233809005,0.266773715,0.298503918,0.240561941
1,2014/5/7,0.237095875,0.269175584,0.301282695,0.241593286
1,2014/5/8,0.258945305,0.305819804,0.330960171,0.240067218
1,2014/5/9,0.249617703,0.287218892,0.318403457,0.237046569
1,2014/5/10,0.241307467,0.275955257,0.312446108,0.237219954
1,2014/5/11,0.234197654,0.269531842,0.308265145,0.238953902
1,2014/5/12,0.242761071,0.277135872,0.314157782,0.235979631
1,2014/5/13,0.236349208,0.270084391,0.309798707,0.241954987
