name,date,Green,Red,NIR,SWIR,
1,2014/1/1,0.635660807,0.642831257,0.621353795,0.111027123,-0.016989176
1,2014/1/2,0.705505976,0.719391302,0.677905391,0.096376336,-0.029690123
1,2014/1/3,0.748538304,0.762469087,0.732301208,0.108288659,-0.020182284
1,2014/1/4,0.728922861,0.734754351,0.693447053,0.199684923,-0.0289226
1,2014/1/5,0.844615,0.86019375,0.8274825,0.12109,-0.01938242
1,2014/1/6,0.761209779,0.757263004,0.71896546,0.251339217,-0.02594283
1,2014/1/7,0.777986812,0.798095028,0.76734515,0.16367411,-0.019642959
1,2014/1/8,0.710371822,0.711939458,0.673794371,0.138548695,-0.027526994
1,2014/1/9,0.698967495,0.703875133,0.668129184,0.136152539,-0.026053817
1,2014/1/10,0.681075372,0.688001684,0.657751365,0.157170256,-0.022478358
1,2014/1/11,0.744331375,0.750831961,0.699563449,0.098772493,-0.035347955
1,2014/1/12,0.674739635,0.689839125,0.675147999,0.125985988,-0.010762831
1,2014/1/13,0.625067454,0.618995563,0.572272223,0.115990591,-0.039221526
1,2014/1/14,0.687664539,0.708774976,0.693647591,0.128553299,-0.01078661
1,2014/1/15,0.693544104,0.702548092,0.665472061,0.09356941,-0.027101963
1,2014/1/16,0.767646888,0.790490064,0.755413164,0.164256034,-0.02269023
1,2014/1/17,0.691618039,0.700200251,0.665472061,0.220702641,-0.025429373
1,2014/1/18,0.712399258,0.725924426,0.691642215,0.153884099,-0.024183844
1,2014/1/19,0.715541784,0.723678665,0.70402541,0.308196594,-0.013765636
1,2014/1/20,0.684015155,0.69826073,0.667978781,0.116914823,-0.022164451
1,2014/1/21,0.7493275,0.7784775,0.77725375,0.0788225,-0.000786608
1,2014/1/22,0.724918675,0.742308276,0.719015594,0.140773698,-0.015939439
1,2014/1/23,0.708800559,0.718064261,0.693848128,0.392438619,-0.0171513
1,2014/1/24,0.736829862,0.735162671,0.705529442,0.388878615,-0.020568745
1,2014/1/25,0.744331375,0.7506278,0.718915325,0.445804453,-0.021579819
1,2014/1/26,0.676868443,0.671413674,0.628723551,0.209919936,-0.03283509
1,2014/1/27,0.760044004,0.765276289,0.729092607,0.143169855,-0.024213353
1,2014/1/28,0.883514854,0.891396203,0.849365018,0.350916645,-0.02414529
1,2014/1/29,0.868866629,0.880473636,0.852322947,0.205949162,-0.016245813
1,2014/1/30,0.683711039,0.692799447,0.665371793,0.170143734,-0.020194548
1,2014/1/31,0.942715985,0.951419278,0.918349944,0.214061864,-0.017686319
1,2014/2/1,0.793699441,0.815346558,0.794718529,0.206668009,-0.012811922
1,2014/2/2,0.915244227,0.923653502,0.878944311,0.265545003,-0.024802644
1,2014/2/3,0.752998664,0.762009727,0.72387863,0.140739467,-0.025662155
1,2014/2/4,0.788985652,0.799422069,0.761028216,0.262156153,-0.024604342
1,2014/2/5,0.742101195,0.754302683,0.713099736,0.161825647,-0.028078833
1,2014/2/6,0.90166375,0.8992025,0.85895625,0.1466375,-0.022891135
1,2014/2/7,0.679960283,0.685500722,0.657851634,0.158197181,-0.020582156
1,2014/2/8,0.837086571,0.848981938,0.817980888,0.235524582,-0.018597325
1,2014/2/9,0.780926594,0.797890868,0.766442731,0.19194876,-0.020103216
1,2014/2/10,0.76663317,0.790541104,0.756014777,0.136152539,-0.022324655
1,2014/2/11,0.794662473,0.803199031,0.766192059,0.255481145,-0.023580465
1,2014/2/12,0.801961242,0.81779648,0.778625388,0.151145634,-0.024536805
1,2014/2/13,0.8226425,0.8333675,0.8175825,0.073515,-0.009561162
1,2014/2/14,0.568958163,0.563821291,0.518478019,0.124308678,-0.041895316
1,2014/2/15,0.817116326,0.858424344,0.841042709,0.198726461,-0.010227698
1,2014/2/16,0.643365063,0.648547741,0.616841699,0.209748782,-0.025056351
1,2014/2/17,0.749501336,0.773187494,0.750249321,0.165830652,-0.015056859
1,2014/2/18,0.761513895,0.774004134,0.745286016,0.156656794,-0.018902326
1,2014/2/19,0.674080718,0.688767284,0.653740613,0.133414074,-0.026090477
1,2014/2/20,0.827354878,0.8525037,0.824899434,0.120748674,-0.016456548
